"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045732","GO:0045732","2/51","10/17095",0.2,67.0392156862745,11.4265622584222,0.000386721400726306,0.00967103080123314,0.00695221726404437,"evm.TU.Chr07.2324/evm.TU.Chr05.1886",2
"GO:0001786","GO:0001786","2/51","11/17095",0.181818181818182,60.9447415329768,10.8786205395804,0.000471757600060153,0.00967103080123314,0.00695221726404437,"evm.TU.Chr01.1143/evm.TU.Chr01.3164",2
"GO:0014059","GO:0014059","2/51","11/17095",0.181818181818182,60.9447415329768,10.8786205395804,0.000471757600060153,0.00967103080123314,0.00695221726404437,"evm.TU.Chr01.1143/evm.TU.Chr01.3164",2
"GO:0017158","GO:0017158","2/51","11/17095",0.181818181818182,60.9447415329768,10.8786205395804,0.000471757600060153,0.00967103080123314,0.00695221726404437,"evm.TU.Chr01.1143/evm.TU.Chr01.3164",2
"GO:0030276","GO:0030276","2/51","17/17095",0.117647058823529,39.4348327566321,8.67265612643404,0.00115324532637655,0.0189132233525755,0.0135961554267552,"evm.TU.Chr01.1143/evm.TU.Chr01.3164",2
"GO:0071277","GO:0071277","2/51","20/17095",0.1,33.5196078431373,7.95978095399664,0.00160196085736202,0.0218934650506143,0.0157385628091708,"evm.TU.Chr01.1143/evm.TU.Chr01.3164",2
"GO:0061630","GO:0061630","4/51","189/17095",0.0211640211640212,7.09409689801847,4.60830272008498,0.00241118554180708,0.0282453163468829,0.0203047203520596,"evm.TU.Chr06.98/evm.TU.Chr05.2243/evm.TU.Chr07.2122/evm.TU.Chr09.726",4
"GO:0005544","GO:0005544","2/51","35/17095",0.0571428571428571,19.1540616246499,5.88084169918022,0.0048754539538097,0.0466823956178309,0.0335585899178245,"evm.TU.Chr01.1143/evm.TU.Chr01.3164",2
"GO:0000209","GO:0000209","3/51","117/17095",0.0256410256410256,8.59477124183007,4.50905506084277,0.00512367756781071,0.0466823956178309,0.0335585899178245,"evm.TU.Chr07.2324/evm.TU.Chr05.1886/evm.TU.Chr09.726",3
"GO:0043161","GO:0043161","3/51","124/17095",0.0241935483870968,8.1095825426945,4.34632703951102,0.00601993132564021,0.0493634368702497,0.0354859109721949,"evm.TU.Chr07.2324/evm.TU.Chr05.1886/evm.TU.Chr09.726",3
