"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"evm.TU.Chr01.2000",264.163580868355,-24.7865767501912,1.63058593389797,-15.2010245120526,3.4813346065282e-52,2.26321562770398e-48
"evm.TU.Chr05.555",29.3440504762946,-34.4936525827872,2.82428508589771,-12.2132332727393,2.6417801904696e-34,8.58710650912142e-31
"evm.TU.Chr02.673",68.0211878751697,23.3394484106251,2.07352801897491,11.2559117586284,2.16574663693994e-29,4.69317296224885e-26
"evm.TU.Chr02.2033",15.4902747164561,-21.7372213720835,2.00027445590522,-10.8671194134939,1.65338831068541e-27,2.68716935194146e-24
"evm.TU.Chr07.2321",77.2250151353997,21.8541850645953,2.14953045691704,10.1669576228939,2.78470925291416e-24,3.49899505643511e-21
"evm.TU.Chr03.3565",47.010495620022,21.7088404404817,2.13827233561852,10.1525142886919,3.22934476828345e-24,3.49899505643511e-21
"evm.TU.Chr07.2194",28.3309536989474,21.2533406556698,2.11608499084819,10.0437084273968,9.79220118286252e-24,9.09415712711275e-21
"evm.TU.Chr05.3139",10.7094938271494,-29.710843046797,2.97543166832969,-9.98538913295751,1.76606752386304e-23,1.4351506215792e-20
"evm.TU.Chr03.3564",196.107517894214,22.6967188330447,2.35395176715675,9.64196427034664,5.31608365751157e-22,3.83998442860919e-19
"evm.TU.Chr01.1227",146.06210563863,-23.8059853745374,2.47943993033761,-9.6013559688441,7.88995203135698e-22,5.12925781558517e-19
"evm.TU.Chr02.435",14.3684468165678,-19.9904161584283,2.09325775792082,-9.54990663848502,1.29813220241396e-21,7.67196131626648e-19
"evm.TU.Chr09.2266",24.4893301770974,-22.551764344171,2.4136686159753,-9.34335566817585,9.33283161627642e-21,5.05606152811775e-18
"evm.TU.Chr03.804",15.7798235080506,-19.38599152472,2.07934277287825,-9.32313410640114,1.12953457625105e-20,5.64854175400622e-18
"evm.TU.Chr05.224",6.12710585161137,-23.2328903662809,2.52054148779374,-9.21742033558706,3.04333547141022e-20,1.31898159330919e-17
"evm.TU.Chr10.1202",5.68241750643198,-31.2348058550164,3.38851327139713,-9.21784964476111,3.03117809847344e-20,1.31898159330919e-17
"evm.TU.Chr05.1152",12.5767028537503,-20.2064950345421,2.27261722893152,-8.89128832488975,6.04044136473405e-19,2.4543068320085e-16
"evm.TU.Chr07.2313",65.5851800117773,-22.20294262172,2.54948740515417,-8.70878694157634,3.07143970127842e-18,1.17455467635359e-15
"evm.TU.Chr07.640",50.0686324311362,-24.3860088975197,2.80546414816138,-8.69232597875171,3.55093489335609e-18,1.28247931898378e-15
"evm.TU.Chr09.907",40.8088370976576,31.7065514046696,3.65716069572577,8.66971786110628,4.3319243629667e-18,1.48220212019192e-15
"evm.TU.Chr10.1752",53.3889055397149,32.258111172582,3.75569588214795,8.58911695324304,8.76402744381517e-18,2.84874712061212e-15
"evm.TU.Chr05.3138",137.163402793444,-24.3074146814059,2.90629309891614,-8.36371757909451,6.07722950941406e-17,1.79582132003185e-14
"evm.TU.Chr07.423",23.9696592850303,-22.9826284246053,2.74786454357714,-8.36381417647564,6.07225333315148e-17,1.79582132003185e-14
"evm.TU.Chr05.1232",776.591253947643,26.8074543456837,3.3097511644094,8.09953770360474,5.51684272439563e-16,1.55934758918678e-13
"evm.TU.Chr10.1749",149.586828665394,34.4601015235771,4.25841353863762,8.0922393306597,5.85776665613273e-16,1.58672254297995e-13
"evm.TU.Chr01.2911",744.244378182246,-41.3591169443513,5.26779472247961,-7.85131523213249,4.11696703388658e-15,1.07057610749187e-12
"evm.TU.Chr02.1319",157.024994570004,34.2920792529562,4.40450319207188,7.7856860938782,6.93359049073506e-15,1.7336642992411e-12
"evm.TU.Chr02.636",6.72458570266253,29.9406827054977,3.85057115924744,7.77564716174453,7.50626597029063e-15,1.80734203973553e-12
"evm.TU.Chr03.767",76.0212581687262,-22.2183440287433,2.89291260715848,-7.68026796722592,1.58756152321448e-14,3.68597766514905e-12
"evm.TU.Chr05.1231",205.030068629158,24.9293745726778,3.307400775947,7.53745199371547,4.79242968237203e-14,1.07433052983105e-11
"evm.TU.Chr10.103",9.85382026767001,-19.3074952505338,2.56640352008512,-7.52317205748432,5.34629917904473e-14,1.15854303209899e-11
"evm.TU.Chr02.138",9.84016517261793,-20.2976811639763,2.70467624396171,-7.50466204940117,6.15872803963583e-14,1.29154487050557e-11
"evm.TU.ctg277.49",58.5465231750196,20.9235003841975,2.79267002391645,7.4922923958106,6.76809330517701e-14,1.37498045552987e-11
"evm.TU.Chr02.1020",18.6991743495855,19.6539209320062,2.63342416791972,7.46325683930056,8.44095793417628e-14,1.66286871303273e-11
"evm.TU.Chr10.1663",55.9799554765833,-22.9205083469143,3.1101610117854,-7.3695568364664,1.71196167813452e-13,3.27337143222132e-11
"evm.TU.Chr03.264",20.0865104131477,20.9773822488799,2.84861898364755,7.36405337790002,1.78408302425389e-13,3.31380678304986e-11
"evm.TU.Chr01.3154",902.375078471503,-25.581504902594,3.5297313851117,-7.24743673427842,4.24732730363426e-13,7.66996522247953e-11
"evm.TU.Chr09.1609",143.188074634473,-18.641207092014,2.57381218995518,-7.24264465168245,4.40018721641083e-13,7.73124786321265e-11
"evm.TU.Chr07.1532",350.719163854809,-7.92254902037915,1.10178780170301,-7.19063054440556,6.44927797408846e-13,1.1033356870934e-10
"evm.TU.Chr02.1348",60.7108095501769,36.7703406559088,5.13487440181408,7.16090361293324,8.01469891934253e-13,1.33598865832425e-10
"evm.TU.Chr09.1824",1033.53988795626,-4.84376924940524,0.682822398306715,-7.0937468680245,1.3052878907289e-12,2.12141914440714e-10
"evm.TU.Chr02.2289",50.8038097225766,-23.4430685334082,3.32954360851978,-7.04092551105836,1.90967083036029e-12,3.02799269955421e-10
"evm.TU.Chr10.869",10.774069567818,31.6912153382289,4.51566705583453,7.0180584499209,2.24972437100367e-12,3.48225193711783e-10
"evm.TU.Chr05.1073",1059.86517571325,22.3058295801226,3.20289414076045,6.96427312294079,3.30103646026462e-12,4.99070651818147e-10
"evm.TU.Chr02.2109",70.7716873447791,-21.0836513613182,3.11560055502776,-6.76712273891939,1.31368628677182e-11,1.94097148870536e-09
"evm.TU.Chr09.888",1013.14760728357,-25.5482879995152,3.79138290910996,-6.73851431310925,1.60014297884692e-11,2.31167322344085e-09
"evm.TU.Chr03.3106",6.44061640775582,-18.6809937913515,2.77535163231217,-6.73103673561831,1.6845842437064e-11,2.38075699311636e-09
"evm.TU.Chr02.1009",16.9023747179496,21.3850534937833,3.18044331453201,6.723922226839,1.76896877571455e-11,2.44682255551495e-09
"evm.TU.Chr02.1358",42.5861068158341,22.359528184758,3.3487086454295,6.67705989151235,2.43783343398746e-11,3.30174065715677e-09
"evm.TU.Chr03.2110",6340.54232690121,-7.92407985837138,1.19287362690211,-6.64284940136553,3.07676172939303e-11,4.08204653118043e-09
"evm.TU.Chr09.2168",16396.1546334787,-1.16606389693318,0.176014353186671,-6.62482278190416,3.4766502443236e-11,4.52034064766955e-09
"evm.TU.Chr02.587",7.34072717526278,33.9500410943809,5.13956195963956,6.60562930479036,3.95832235938065e-11,5.03830452820201e-09
"evm.TU.Chr07.2560",38.4245154047202,-22.7018934341612,3.43813390110678,-6.60296954311558,4.03002361892792e-11,5.03830452820201e-09
"evm.TU.Chr07.1471",117.160536603492,-19.1549402943135,2.91707431829774,-6.56649032702444,5.15149921959348e-11,6.31884838237306e-09
"evm.TU.ctg279.46",69.7226387454537,20.5832485613166,3.2102847107317,6.41165828454671,1.43945199691967e-10,1.73294026518052e-08
"evm.TU.Chr02.2108",14.8874869216339,-25.1015339537734,3.94479513442059,-6.36320343602846,1.97588704059739e-10,2.33549848198612e-08
"evm.TU.Chr03.263",309.360155884877,9.10171560205749,1.47431822755524,6.17350815580042,6.67911029942069e-10,7.75373143866677e-08
"evm.TU.Chr02.946",20.5591111923928,20.8255954431831,3.38964510809735,6.14388668401712,8.05262996861294e-10,9.18423639051803e-08
"evm.TU.Chr02.1794",100.389177204657,-30.6554535848939,5.04322507472755,-6.07854163370847,1.21280495183041e-09,1.3533307903328e-07
"evm.TU.Chr03.866",18.4941884460469,-20.1508384060324,3.31618299568815,-6.07651581117007,1.22821899138033e-09,1.3533307903328e-07
"evm.TU.Chr07.2324",65.4349708038643,-22.5059839894068,3.75289416109444,-5.99696741323595,2.01036382350076e-09,2.17822920276307e-07
"evm.TU.Chr09.2475",6797.05314056515,1.19164438373874,0.199701271911913,5.96713467235387,2.41456113852882e-09,2.57328884615998e-07
"evm.TU.Chr05.1556",716.874602592177,-2.19917785178846,0.371193009136621,-5.92462087824244,3.13018691789774e-09,3.2821524440731e-07
"evm.TU.Chr02.1163",86.2979820724326,-19.3333272984912,3.30415279618651,-5.85122071860744,4.87978133212724e-09,5.03546959367606e-07
"evm.TU.ctg2.337",349.990479570658,-29.9927931370334,5.13449770600057,-5.8414269232181,5.17555810896638e-09,5.25723488537351e-07
"evm.TU.Chr05.1886",47.6731998320978,-21.8825575303997,3.76465455056242,-5.81263359931141,6.14975679052407e-09,6.05751043866621e-07
"evm.TU.Chr04.2473",9596.97247257398,-5.27242204644648,0.906709464816793,-5.81489688928284,6.06712720279151e-09,6.05751043866621e-07
"evm.TU.Chr02.1710",9.39922772973474,16.8174209596765,2.92369281655773,5.75211624984491,8.81331592510277e-09,8.55154728792435e-07
"evm.TU.Chr03.266",316.648537317117,7.16571484757042,1.25818021128062,5.69530086654033,1.23154550912122e-08,1.17739372864662e-06
"evm.TU.Chr05.663",151.562612219225,29.1363802911022,5.13563545222872,5.67337393047589,1.40012148958664e-08,1.31915794258011e-06
"evm.TU.Chr02.1337",12.2991558997836,15.1522169108929,2.75399347522024,5.50190733828123,3.75704410366338e-08,3.4892205311308e-06
"evm.TU.Chr04.1764",5952.90969737247,-0.368954133184403,0.0676191785089672,-5.4563533796181,4.86012233739492e-08,4.45009229794427e-06
"evm.TU.Chr07.2122",243.575369996462,-27.2992827550441,5.13478109938403,-5.3165426581318,1.05757437589526e-07,9.54901530235432e-06
